Day,Susceptible,Infected,Recovered,Dead,Vaccinated (Any),Vaccine Effective,Asymptomatic,LockdownActive
0,1952,48,0,0,0,0,16,0
1,1940,60,0,0,0,0,18,0
2,1922,78,0,0,0,0,27,0
3,1894,106,0,0,0,0,38,0
4,1859,141,0,0,0,0,51,0
5,1829,171,0,0,0,0,61,0
6,1786,214,0,0,0,0,71,0
7,1752,248,0,0,0,0,84,0
8,1712,288,0,0,0,0,96,0
9,1667,333,0,0,0,0,110,0
10,1625,375,0,0,0,0,122,0
11,1575,425,0,0,0,0,141,0
12,1523,477,0,0,0,0,159,0
13,1467,489,44,0,0,0,162,0
14,1400,547,53,0,0,0,177,0
15,1333,597,70,0,0,0,194,0
16,1276,632,92,0,0,0,207,0
17,1218,664,118,0,0,0,219,0
18,1166,681,153,0,0,0,216,0
19,1101,704,195,0,0,0,219,0
20,1061,710,229,0,0,0,227,0
21,1007,727,265,1,0,0,233,0
22,964,726,309,1,0,0,241,0
23,917,731,351,1,0,0,245,0
24,890,712,396,2,0,0,243,0
25,856,695,447,2,0,0,237,0
26,829,675,494,2,0,0,229,0
27,801,634,563,2,0,0,219,0
28,779,584,635,2,0,0,200,0
29,753,554,690,3,0,0,195,0
30,731,522,744,3,0,0,182,0
31,716,480,801,3,0,0,167,0
32,694,442,861,3,0,0,166,0
33,679,398,920,3,0,0,154,0
34,661,370,966,3,0,0,145,0
35,657,327,1013,3,0,0,129,0
36,645,297,1055,3,0,0,116,0
37,634,271,1092,3,0,0,102,0
38,624,250,1123,3,0,0,99,0
39,613,229,1155,3,0,0,88,0
40,603,214,1179,4,0,0,86,0
41,597,192,1207,4,0,0,80,0
42,591,175,1229,5,0,0,74,0
43,586,157,1252,5,0,0,68,0
44,577,146,1272,5,0,0,64,0
45,571,133,1291,5,0,0,57,0
46,569,116,1310,5,0,0,51,0
47,565,106,1324,5,0,0,41,0
48,563,94,1338,5,0,0,38,0
49,560,91,1343,6,0,0,38,0
50,554,87,1353,6,0,0,36,0
51,549,80,1365,6,0,0,32,0
52,546,75,1373,6,0,0,29,0
53,546,64,1384,6,0,0,26,0
54,545,57,1392,6,0,0,22,0
55,543,52,1399,6,0,0,17,0
56,542,48,1404,6,0,0,15,0
57,540,41,1413,6,0,0,14,0
58,539,35,1420,6,0,0,13,0
59,537,33,1424,6,0,0,12,0
60,537,31,1426,6,0,0,11,0
61,535,29,1430,6,0,0,11,0
62,535,28,1431,6,0,0,11,0
63,535,22,1437,6,0,0,9,0
64,535,16,1443,6,0,0,7,0
65,535,12,1447,6,0,0,4,0
66,535,11,1448,6,0,0,4,0
67,535,10,1449,6,0,0,4,0
68,533,11,1450,6,0,0,5,0
69,533,9,1452,6,0,0,4,0
70,533,9,1452,6,0,0,4,0
71,532,7,1455,6,0,0,2,0
72,532,7,1455,6,0,0,2,0
73,532,5,1457,6,0,0,1,0
74,532,4,1458,6,0,0,1,0
75,532,3,1459,6,0,0,1,0
76,532,3,1459,6,0,0,1,0
77,532,3,1459,6,0,0,1,0
78,532,3,1459,6,0,0,1,0
79,532,3,1459,6,0,0,1,0
80,532,3,1459,6,0,0,1,0
81,532,1,1461,6,0,0,0,0
82,532,1,1461,6,0,0,0,0
83,532,1,1461,6,0,0,0,0
84,532,1,1461,6,0,0,0,0
85,532,0,1462,6,0,0,0,0
